detection_model,metric,correlation,pvalue,significant
microsoft/deberta-v3-small,L_OUR_PRON,-0.17840877190268387,0.05982944172078855,False
microsoft/deberta-v3-small,L_THEIR_PRON,0.1317434463368442,0.16616147350807184,False
microsoft/deberta-v3-small,L_YOURS_PRON,-0.2776276660266467,0.003039988945187776,True
microsoft/deberta-v3-small,L_THEIRS_PRON,-0.2718267008072175,0.0037403157861354906,True
microsoft/deberta-v3-small,L_HERS_PRON,0.039030092118195504,0.6828496906392323,False
microsoft/deberta-v3-small,L_OURS_PRON,0.0916361032669834,0.3365875894486273,False
microsoft/deberta-v3-small,L_MYSELF_PRON,0.12302751622857845,0.1962498730853605,False
microsoft/deberta-v3-small,L_YOURSELF_PRON,0.1904281066794204,0.04431109752041066,True
microsoft/deberta-v3-small,L_HIMSELF_PRON,-0.02462413858271244,0.7966284382257212,False
microsoft/deberta-v3-small,L_HERSELF_PRON,-0.07685572484565824,0.4205703652489372,False
microsoft/deberta-v3-small,L_ITSELF_PRON,0.1457516538452614,0.12518054703609485,False
microsoft/deberta-v3-small,L_OURSELVES_PRON,0.09407892738194576,0.3238099870201683,False
microsoft/deberta-v3-small,L_YOURSELVES_PRON,0.16460600148503693,0.08285876767725629,False
microsoft/deberta-v3-small,L_THEMSELVES_PRON,-0.013379689285851443,0.8886480779192785,False
microsoft/deberta-v3-small,L_FIRST_PERSON_SING_PRON,-0.07538774735322731,0.42952565071359405,False
microsoft/deberta-v3-small,L_SECOND_PERSON_PRON,0.00907907487254205,0.924308524409515,False
microsoft/deberta-v3-small,L_THIRD_PERSON_SING_PRON,0.12200571880640791,0.20001974123504063,False
microsoft/deberta-v3-small,L_THIRD_PERSON_PLURAL_PRON,0.14093875403136757,0.13827860497286726,False
microsoft/deberta-v3-small,VF_INFINITIVE,-0.014567847021660646,0.8788319327728467,False
xlm-roberta-base,MATTR,0.11829450443116162,0.21415032959093616,False
xlm-roberta-base,L_MATTR,0.07696385660119447,0.41991502021659377,False
xlm-roberta-base,LEX_DEN,-0.17860083142314268,0.05955041214709353,False
xlm-roberta-base,UNIQUE_WORDS,0.09955989560332941,0.2962910353258814,False
xlm-roberta-base,FLESCH,0.26163664706653783,0.005327206434528169,True
xlm-roberta-base,GUNNING_FOG,-0.2774181443006446,0.0030630717836253904,True
xlm-roberta-base,AVG_SENT_LEN,-0.13637908432218257,0.1516243657752395,False
xlm-roberta-base,LONG_SENTS,0.05868125464995286,0.5388274652479386,False
xlm-roberta-base,SHORT_SENTS,0.06488881575513072,0.496674404218284,False
xlm-roberta-base,SENT_LEN_STD,0.05515990583994212,0.5635012681542171,False
xlm-roberta-base,len_in_characters,0.03850452864442676,0.6868954647126213,False
xlm-roberta-base,polarity,0.19674137407031292,0.037606012858853774,True
xlm-roberta-base,subjectivity,0.01634758203669413,0.8641631389015686,False
xlm-roberta-base,POS_VERB,0.0037559619030982554,0.9686483578511739,False
xlm-roberta-base,POS_NOUN,-0.1780412038616495,0.06036643700352272,False
xlm-roberta-base,POS_ADJ,-0.12974965013218678,0.17272244763371225,False
xlm-roberta-base,POS_ADV,0.1734694771669901,0.0673806248366827,False
xlm-roberta-base,POS_DET,0.19578570238837845,0.03856266290674669,True
xlm-roberta-base,POS_INTJ,-0.06733395771611618,0.48055975187412336,False
xlm-roberta-base,POS_CONJ,-0.0692366914251929,0.46821692786901703,False
xlm-roberta-base,POS_PART,0.026102320916259338,0.7847082777565957,False
xlm-roberta-base,POS_NUM,0.06051511112069196,0.5261928359241632,False
xlm-roberta-base,POS_PREP,0.19416708728744445,0.040229444855172235,True
xlm-roberta-base,POS_PRO,0.01616677928605788,0.865651318322355,False
xlm-roberta-base,G_PASSIVE,0.2467591635856122,0.008719837273120482,True
xlm-roberta-base,G_ACTIVE,0.01374746628944903,0.8856077611336751,False
xlm-roberta-base,G_PRESENT,0.13076558939766664,0.16935582106877206,False
xlm-roberta-base,G_PAST,0.052094868733918095,0.5854055955399345,False
xlm-roberta-base,G_FUTURE,-0.066731281880662,0.4845053895839492,False
xlm-roberta-base,L_CONT_A,-0.1058621629112215,0.26661301044761043,False
xlm-roberta-base,L_FUNC_A,0.12703330404524696,0.18196590003932583,False
xlm-roberta-base,L_CONT_T,-0.25477475219715257,0.006709621835137777,True
xlm-roberta-base,L_FUNC_T,0.15275895256434743,0.10784289535180423,False
xlm-roberta-base,L_PROPER_NAME,0.0036268170812152212,0.9697258318126412,False
xlm-roberta-base,L_PERSONAL_NAME,-0.09281423107363888,0.3303857761020411,False
xlm-roberta-base,L_POSSESSIVES,0.17214359032899096,0.06953425614057421,False
xlm-roberta-base,L_ADJ_POSITIVE,-0.1342568044159047,0.15815648389222337,False
xlm-roberta-base,L_ADJ_COMPARATIVE,0.2529796391729784,0.007120119573418791,True
xlm-roberta-base,L_ADJ_SUPERLATIVE,0.03163832894764542,0.7405272061711354,False
xlm-roberta-base,L_ADV_POSITIVE,0.17439501505715185,0.06590960861591445,False
xlm-roberta-base,L_ADV_COMPARATIVE,0.17510100675011242,0.06480517040360222,False
xlm-roberta-base,L_ADV_SUPERLATIVE,0.16409786792567788,0.08382580459549561,False
xlm-roberta-base,ST_REPETITIONS_WORDS,0.14350357366272998,0.13117464670318327,False
xlm-roberta-base,ST_REPETITIONS_SENT,,,False
xlm-roberta-base,L_I_PRON,-0.048547690959530744,0.6112313707476582,False
xlm-roberta-base,L_HE_PRON,0.08032162197015334,0.39986109986459806,False
xlm-roberta-base,L_SHE_PRON,0.05280516525427479,0.58029486264246,False
xlm-roberta-base,L_IT_PRON,0.20431787028745094,0.030703874416844867,True
