detection_model,metric,dataset,correlation,pvalue,significant
microsoft/deberta-v3-small,POS_NOUN,reviews,-0.4756979238060144,0.0005513959928906869,True
microsoft/deberta-v3-small,POS_NOUN,qa,-0.5332984650342963,7.965314058654462e-05,True
microsoft/deberta-v3-small,POS_ADJ,abstracts,-0.3337297022357953,0.01910758055816373,True
microsoft/deberta-v3-small,POS_ADJ,news,-0.45336703991723143,0.001070065930564224,True
microsoft/deberta-v3-small,POS_ADJ,reviews,0.5083942111073833,0.00019182290211135713,True
microsoft/deberta-v3-small,POS_ADJ,qa,-0.5541501880920054,3.6124961848534625e-05,True
microsoft/deberta-v3-small,POS_ADV,abstracts,-0.2594212196415919,0.07185665655135073,False
microsoft/deberta-v3-small,POS_ADV,news,-0.40194170524979034,0.004199494202320564,True
microsoft/deberta-v3-small,POS_ADV,reviews,-0.22878279431245985,0.11383487070479431,False
microsoft/deberta-v3-small,POS_ADV,qa,-0.4810413216871725,0.00046732737423542343,True
microsoft/deberta-v3-small,POS_DET,abstracts,0.5573174048248232,3.188765642610511e-05,True
microsoft/deberta-v3-small,POS_DET,news,0.41270849576334057,0.0032089672506733255,True
microsoft/deberta-v3-small,POS_DET,reviews,0.3722297465053107,0.008445300836396163,True
microsoft/deberta-v3-small,POS_DET,qa,0.3893465074243617,0.005690466471733454,True
microsoft/deberta-v3-small,POS_INTJ,abstracts,-0.1936301954088686,0.18250645386739267,False
microsoft/deberta-v3-small,POS_INTJ,news,-0.09556436790174441,0.5136409484258441,False
microsoft/deberta-v3-small,POS_INTJ,reviews,0.4442200081192612,0.001386305919325331,True
microsoft/deberta-v3-small,POS_INTJ,qa,-0.0075740161982080015,0.9588074674045973,False
microsoft/deberta-v3-small,POS_CONJ,abstracts,0.5269361304796734,0.00010035879722599117,True
microsoft/deberta-v3-small,POS_CONJ,news,0.4046235138085328,0.003930514423547217,True
microsoft/deberta-v3-small,POS_CONJ,reviews,0.3689417269755617,0.00908967164921566,True
microsoft/deberta-v3-small,POS_CONJ,qa,-0.42292347761261856,0.002465858294666788,True
microsoft/deberta-v3-small,POS_PART,abstracts,-0.027902603984986257,0.8490638619223574,False
microsoft/deberta-v3-small,POS_PART,news,0.3147010351104724,0.02764203723307893,True
microsoft/deberta-v3-small,POS_PART,reviews,0.47786711637103374,0.0005157502481232223,True
microsoft/deberta-v3-small,POS_PART,qa,-0.4951238534606919,0.00029824472624685516,True
microsoft/deberta-v3-small,POS_NUM,abstracts,0.20009153610106856,0.16805861437916414,False
microsoft/deberta-v3-small,POS_NUM,news,0.19665666613175245,0.17563200714821045,False
microsoft/deberta-v3-small,POS_NUM,reviews,0.12277577806749826,0.4006671940634978,False
microsoft/deberta-v3-small,POS_NUM,qa,0.5168112242342908,0.0001436129519662802,True
microsoft/deberta-v3-small,POS_PREP,abstracts,-0.12599528121201953,0.3883333298346054,False
microsoft/deberta-v3-small,POS_PREP,news,-0.05697135882666968,0.6974089608779772,False
microsoft/deberta-v3-small,POS_PREP,reviews,-0.646878491001616,5.116191260882865e-07,True
microsoft/deberta-v3-small,POS_PREP,qa,-0.37199341127029534,0.008490260774505423,True
microsoft/deberta-v3-small,POS_PRO,abstracts,0.19034545677313897,0.19018368448207384,False
microsoft/deberta-v3-small,POS_PRO,news,0.43690834782907273,0.0016964511730698899,True
microsoft/deberta-v3-small,POS_PRO,reviews,0.3119334810769434,0.02911479319241577,True
microsoft/deberta-v3-small,POS_PRO,qa,-0.5414653312798038,5.880396210482171e-05,True
microsoft/deberta-v3-small,G_PASSIVE,abstracts,0.24959907629238273,0.08370505229413575,False
microsoft/deberta-v3-small,G_PASSIVE,news,0.24507614534931588,0.08965175526392509,False
microsoft/deberta-v3-small,G_PASSIVE,reviews,0.25671427936645286,0.07498062944166507,False
microsoft/deberta-v3-small,G_PASSIVE,qa,0.5401572234609929,6.176552227175765e-05,True
microsoft/deberta-v3-small,G_ACTIVE,abstracts,0.23839280411934682,0.09903522149473475,False
microsoft/deberta-v3-small,G_ACTIVE,news,0.45605240665317964,0.000990385733315188,True
microsoft/deberta-v3-small,G_ACTIVE,reviews,0.5952496592034385,6.446716618355376e-06,True
