feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,MATTR,0.0020799724530966702,-0.3263513468126732,0.14065893427474585,0.01175120813299735,-0.3342988856158222,0.11829450443116162
,L_MATTR,-0.013441794928080519,-0.3384580790228603,0.10688253719083644,-0.008213995537931174,-0.3598706323571929,0.07696385660119447
,LEX_DEN,-0.01629317774205645,-0.2962988406492044,-0.09850516416951505,-0.027637838552346677,-0.3618860726456706,-0.17860083142314268
,UNIQUE_WORDS,0.025143002170325567,-0.12100785407591545,0.17327730805817454,0.02160071312238355,-0.1452186587896657,0.09955989560332941
,FLESCH,0.06171045345694798,0.3220353251168546,0.22203482441967823,0.05893760994038954,0.3594308273675092,0.26163664706653783
,GUNNING_FOG,-0.08878190357128807,-0.31727868126899383,-0.26585029338730887,-0.08689570216584881,-0.3448390396789305,-0.2774181443006446
,AVG_SENT_LEN,-0.07722258411778532,-0.2952020746403169,-0.17111623855318822,-0.07404231215777222,-0.31543516270984445,-0.13637908432218257
,LONG_SENTS,-0.015614364919475822,-0.20192667548709042,0.10877670169719893,-0.02860647800674447,-0.20417966600917956,0.05868125464995286
,SHORT_SENTS,0.10973464353787662,0.1500076708776044,0.07605500984978683,0.09698574529091512,0.19168598282346608,0.06488881575513072
,SENT_LEN_STD,0.027638574923444587,-0.30007206694033345,0.048581014668865365,-0.010983291065930816,-0.32315928772829944,0.05515990583994212
,len_in_characters,0.023919429226361436,-0.16299786799987395,0.14095597370869814,0.019899323150205886,-0.18777996851727327,0.03850452864442676
,polarity,0.052939963286001264,0.17069678223256693,0.253473650305963,0.09489869095174092,0.1840555945030012,0.19674137407031292
,subjectivity,0.024484161004668572,0.04775921067012632,-0.0022773023269676363,0.06068552544420071,0.08644442900678706,0.01634758203669413
,POS_VERB,0.05281941325849581,-0.08084338881449385,-0.007141861172853136,0.02283103861961451,-0.04218376388346897,0.0037559619030982554
,POS_NOUN,-0.031614934728318986,-0.23915206327782507,-0.1770096731195752,-0.023527843011224132,-0.3080135532832045,-0.1780412038616495
,POS_ADJ,-0.040997623838149935,-0.08717094642180925,-0.10615500582361993,-0.023013588557015748,-0.05879897380226195,-0.12974965013218678
,POS_ADV,0.006506568523501813,-0.21654543290103948,0.17873164085263202,-0.01144717355233826,-0.18646933368413252,0.1734694771669901
,POS_DET,-0.015527707382776066,0.307723087460848,0.15657422104752344,0.003782407455817898,0.31674021018376963,0.19578570238837845
,POS_INTJ,0.03049059041147167,0.07687584011127264,-0.11175140095605458,0.011128994824555963,0.0793805943690673,-0.06733395771611618
,POS_CONJ,-0.038928524259952246,0.21677372626242364,-0.13606989026614943,-0.023379281526799328,0.2939246279240281,-0.0692366914251929
,POS_PART,0.0396526230806621,0.1391252471645035,-0.031895147335544834,0.04087341661735452,0.23832721095229453,0.026102320916259338
