feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,MATTR,0.9474134838140302,3.0393445667027396e-06,0.13907099662592037,0.7094169685265101,1.678293249504987e-06,0.21415032959093616
,L_MATTR,0.669923142905551,1.221775564966358e-06,0.262004754992166,0.7945035000477845,2.211919482476673e-07,0.41991502021659377
,LEX_DEN,0.6053762064234246,2.4787126148523354e-05,0.30146296862059835,0.380729557510883,1.8709083983536564e-07,0.05955041214709353
,UNIQUE_WORDS,0.4252180912426017,0.09112597492973576,0.06768936732689745,0.49332475574618306,0.04227172789430699,0.2962910353258814
,FLESCH,0.050150024109951244,4.167051472467622e-06,0.018628439113053827,0.061412268176856286,2.2938816102460177e-07,0.005327206434528169
,GUNNING_FOG,0.00479021974062909,5.867361931523013e-06,0.004609871163931469,0.005768590442551665,7.439282522518708e-07,0.0030630717836253904
,AVG_SENT_LEN,0.014192192738047442,2.664611478278582e-05,0.07124102868167363,0.01871893461901207,6.689015557635618e-06,0.1516243657752395
,LONG_SENTS,0.6204901521709115,0.004537061814268017,0.25359485965370276,0.364255428826902,0.0040977905882604825,0.5388274652479386
,SHORT_SENTS,0.0004826790124402683,0.035855394945179336,0.42544159202174003,0.0020516565185047853,0.007114370160642464,0.496674404218284
,SENT_LEN_STD,0.3807168626376931,1.928386731010405e-05,0.610986449667138,0.7276250220541159,3.8400923586381075e-06,0.5635012681542171
,len_in_characters,0.4481010943043545,0.02245033156971052,0.13822995471597163,0.5279996599852049,0.008399082404806435,0.6868954647126213
,polarity,0.09297982693782202,0.01675447971650303,0.007004990571856561,0.0025612441729966225,0.009811677511713428,0.037606012858853774
,subjectivity,0.437453884457881,0.5062221609126836,0.9809879243039301,0.05409308154182392,0.22830464325510805,0.8641631389015686
,POS_VERB,0.09372767905657048,0.25999084350622387,0.9404252541484617,0.4690301400215541,0.5571657012067247,0.9686483578511739
,POS_NOUN,0.3159823265196438,0.0007359228048764,0.06189451857284394,0.455569382635997,1.123857932813541e-05,0.06036643700352272
,POS_ADJ,0.1934070630042141,0.22440375798588824,0.2652848704939005,0.4654825793778191,0.4129982149329515,0.17272244763371225
,POS_ADV,0.8365386042584677,0.002299875688922893,0.05936097873991741,0.7166067975772791,0.008874139712369748,0.0673806248366827
,POS_DET,0.6224313574007503,1.1465903829150221e-05,0.09922519687030333,0.904531359407249,6.096876726185028e-06,0.03856266290674669
,POS_INTJ,0.33350907139664276,0.2841859124289226,0.24076510763691497,0.724158052484655,0.2687412013058161,0.48055975187412336
,POS_CONJ,0.21687633088998873,0.0022747996262956933,0.15256320771018703,0.4584209281252757,2.8977087873088587e-05,0.46821692786901703
,POS_PART,0.20844080046844604,0.051803471220297555,0.7384967317627333,0.19476112618668648,0.0007686535540079198,0.7847082777565957
