,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9014,0.8623,0.8982,0.9019,0.8987,0.8972
1,in_context_learning_3-shot,0.9182,0.9167,0.9146,0.9103,0.9209,0.9209
2,style_information_style_example,0.8782,0.7896,0.8819,0.8813,0.8745,0.8776
3,chain_of_thought_zero_shot,0.8312,0.7637,0.8312,0.8333,0.8238,0.8259
4,chain_of_thought_one_shot,0.9272,0.885,0.9235,0.9246,0.9299,0.9235
5,self-refine,0.8423,0.6566,0.8866,0.8339,0.7848,0.9905
