,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9955,0.7269,0.9925,0.994,0.995,0.9875
1,in_context_learning_3-shot,0.5715,1.0,0.553,0.5225,0.5145,0.5465
2,style_information_style_example,0.996,0.6808,0.9965,0.993,0.995,0.9815
3,chain_of_thought_zero_shot,0.992,0.6603,0.99,0.9915,0.9885,0.987
4,chain_of_thought_one_shot,0.9925,0.7339,0.9915,0.992,0.994,0.986
5,self-refine,0.9725,0.5773,0.97,0.9865,0.9025,0.999
