,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.999,0.776,0.8965,0.999,0.999,0.998
1,in_context_learning_3-shot,0.7935,0.7935,0.788,0.7935,0.7935,0.7935
2,style_information_style_example,0.9805,0.9175,0.9775,0.98,0.9805,0.9805
3,chain_of_thought_zero_shot,0.999,0.779,0.882,0.999,0.9975,0.994
4,chain_of_thought_one_shot,0.9985,0.863,0.9325,0.9985,0.9985,0.997
5,self-refine,0.9995,0.7825,0.9315,0.9985,0.999,1.0
