,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9905,0.945,0.9775,0.9905,0.9905,0.9895
1,in_context_learning_3-shot,0.944,0.9765,0.9375,0.9425,0.9695,0.963
2,style_information_style_example,0.903,0.915,0.993,0.885,0.9685,0.9935
3,chain_of_thought_zero_shot,0.9905,0.955,0.976,0.9895,0.9905,0.99
4,chain_of_thought_one_shot,0.981,0.802,0.907,0.972,0.9945,0.9425
5,self-refine,0.8955,0.7475,0.9785,0.8765,0.97,0.994
