,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.999,0.994,0.9945,0.9985,0.9985,0.994
1,in_context_learning_3-shot,0.9775,0.998,0.9975,0.9755,0.9905,0.9255
2,style_information_style_example,0.9975,0.9935,1.0,0.9975,0.997,0.982
3,chain_of_thought_zero_shot,1.0,0.996,0.9965,0.9995,0.9995,0.991
4,chain_of_thought_one_shot,1.0,0.996,0.999,0.9995,0.9995,0.987
5,self-refine,0.9995,0.996,0.9995,0.999,0.999,0.999
