train_model,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
mistral,0.9014,0.8987,0.8935,0.9014,0.9024,0.9008,0.9008
deepseek,0.9314,0.9341,0.9193,0.9304,0.9341,0.9304,0.9283
llama3.3,0.884,0.8829,0.8866,0.8776,0.8829,0.8782,0.8713
qwen72b,0.8977,0.8191,0.6561,0.9699,0.9626,0.9742,0.9794
qwen32b,0.8972,0.8502,0.6941,0.9705,0.9763,0.9752,0.9773
qwen14b,0.8766,0.7959,0.645,0.9546,0.9631,0.98,0.9763
solar,0.7838,0.6835,0.5559,0.9077,0.9098,0.942,0.9626
