,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9945,0.942,0.988,0.9945,0.995,0.991
1,in_context_learning_3-shot,0.9555,0.9955,0.93,0.952,0.96,0.974
2,style_information_style_example,0.9895,0.9235,0.99,0.9885,0.9915,0.9905
3,chain_of_thought_zero_shot,0.9935,0.9005,0.987,0.994,0.994,0.9895
4,chain_of_thought_one_shot,0.9915,0.8019,0.983,0.9925,0.9945,0.9765
5,self-refine,0.995,0.9385,0.9905,0.9945,0.9955,0.9955
