,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9341,0.9256,0.932,0.9357,0.9346,0.9164
1,in_context_learning_3-shot,0.9151,0.9151,0.913,0.9151,0.9156,0.9153
2,style_information_style_example,0.8924,0.8718,0.8903,0.8929,0.8903,0.8259
3,chain_of_thought_zero_shot,0.8998,0.8766,0.8966,0.9019,0.8956,0.8185
4,chain_of_thought_one_shot,0.9441,0.9383,0.9446,0.9473,0.9483,0.9243
5,self-refine,0.9494,0.9235,0.9467,0.9515,0.9467,0.954
