,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,1.0,0.995,0.9995,0.9995,1.0,0.9585
1,in_context_learning_3-shot,0.9975,1.0,0.9975,0.994,1.0,0.9315
2,style_information_style_example,1.0,0.9945,1.0,0.9975,1.0,0.981
3,chain_of_thought_zero_shot,1.0,0.9975,0.9995,0.999,1.0,0.9645
4,chain_of_thought_one_shot,1.0,0.9985,0.9995,0.9985,0.9995,0.957
5,self-refine,0.9985,0.994,1.0,0.998,0.9985,1.0
