train_model,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
mistral,0.9985,0.998,0.9955,0.9985,0.9985,0.9985,0.9985
deepseek,0.9975,0.998,0.998,0.9975,0.9985,0.9985,0.9985
llama3.3,0.991,0.9975,0.999,0.985,0.9965,0.9955,0.996
qwen72b,0.999,0.9985,0.995,0.999,0.999,0.999,0.999
qwen32b,0.979,0.9775,0.97,0.9655,1.0,1.0,0.998
qwen14b,0.944,0.957,0.9785,0.851,1.0,1.0,0.987
solar,0.9965,0.9975,0.996,0.999,1.0,1.0,1.0
