,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9855,0.942,0.981,0.9855,0.9855,0.9565
1,in_context_learning_3-shot,0.7065,0.9985,0.945,0.749,0.724,0.92
2,style_information_style_example,0.9775,0.977,0.989,0.984,0.989,0.9665
3,chain_of_thought_zero_shot,0.9915,0.937,0.984,0.9915,0.991,0.9645
4,chain_of_thought_one_shot,0.9915,0.951,0.983,0.991,0.992,0.963
5,self-refine,0.9085,0.929,0.943,0.9305,0.8835,0.9975
