,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.984,0.969,0.791,0.984,0.9835,0.978
1,in_context_learning_3-shot,0.861,0.9805,0.8085,0.8585,0.9685,0.95
2,style_information_style_example,0.8495,0.9495,0.9615,0.813,0.9705,0.9705
3,chain_of_thought_zero_shot,0.9885,0.97,0.7825,0.988,0.988,0.9735
4,chain_of_thought_one_shot,0.635,0.757,0.655,0.63,0.9995,0.941
5,self-refine,0.816,0.889,0.7935,0.7925,0.9875,0.9875
