train_model,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
mistral,0.986,0.973,0.985,0.976,0.982,0.986,0.984
deepseek,0.9865,0.9885,0.988,0.989,0.9875,0.989,0.989
llama3.3,0.984,0.9815,0.988,0.964,0.938,0.9825,0.9735
qwen72b,0.98,0.9875,0.9825,0.988,0.9865,0.987,0.988
qwen32b,0.942,0.9605,0.933,0.986,0.9955,0.996,0.9665
qwen14b,0.9475,0.916,0.922,0.9465,0.996,0.998,0.933
solar,0.977,0.985,0.976,0.9855,0.984,0.9855,0.9855
