train_dataset,abstracts,news,reviews,qa
abstracts,0.988,0.513,0.533,0.5612
news,0.519,0.999,0.8655,0.8465
reviews,0.8305,0.944,0.995,0.8602
qa,0.618,0.6755,0.531,0.9699
