train_dataset,abstracts,news,reviews,qa
abstracts,0.9855,0.5885,0.6755,0.5675
news,0.5625,1.0,0.942,0.9077
reviews,0.8825,0.992,0.998,0.8054
qa,0.7875,0.796,0.84,0.9626
