,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,1.0,0.997,0.999,1.0,0.999,0.9955
1,in_context_learning_3-shot,0.9925,1.0,0.9885,0.9915,0.9955,0.9855
2,style_information_style_example,1.0,0.9935,1.0,0.999,0.999,0.995
3,chain_of_thought_zero_shot,0.9995,0.9995,0.9995,0.9995,0.999,0.9985
4,chain_of_thought_one_shot,1.0,0.997,1.0,1.0,0.9995,0.995
5,self-refine,0.999,0.995,0.9995,0.999,0.9975,0.999
