,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.998,0.883,0.9915,0.998,0.9985,0.993
1,in_context_learning_3-shot,0.926,0.9965,0.981,0.932,0.9935,0.932
2,style_information_style_example,0.998,0.921,0.9975,0.999,0.999,0.999
3,chain_of_thought_zero_shot,0.998,0.884,0.991,0.998,0.9985,0.992
4,chain_of_thought_one_shot,0.989,0.8035,0.975,0.9925,0.9995,0.9265
5,self-refine,0.995,0.818,0.9945,0.9955,0.996,0.999
