,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.986,0.5148,0.964,0.986,0.972,0.961
1,in_context_learning_3-shot,0.7595,0.9895,0.8645,0.717,0.924,0.7195
2,style_information_style_example,0.9835,0.6091,0.984,0.982,0.982,0.95
3,chain_of_thought_zero_shot,0.9885,0.5123,0.951,0.989,0.9525,0.913
4,chain_of_thought_one_shot,0.969,0.6583,0.9555,0.9495,0.9895,0.892
5,self-refine,0.932,0.5038,0.8705,0.919,0.7675,0.9965
