train_model,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
mistral,0.9905,0.9905,0.9895,0.9905,0.9895,0.99,0.9905
deepseek,0.98,0.9945,0.9805,0.995,0.9945,0.9945,0.9935
llama3.3,0.9795,0.9835,0.984,0.984,0.9795,0.9825,0.9845
qwen72b,0.9675,0.993,0.9465,0.995,0.995,0.995,0.995
qwen32b,0.883,0.9585,0.7915,0.9905,0.999,0.998,0.989
qwen14b,0.891,0.942,0.875,0.9875,0.999,0.9985,0.9975
solar,0.894,0.9705,0.8225,0.991,0.994,0.9935,0.998
