,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.988,0.5235,0.9865,0.988,0.9855,0.9865
1,in_context_learning_3-shot,0.501,0.9955,0.5,0.5,0.5095,0.502
2,style_information_style_example,0.99,0.5,0.991,0.989,0.9705,0.9895
3,chain_of_thought_zero_shot,0.9845,0.5275,0.9835,0.9845,0.983,0.9835
4,chain_of_thought_one_shot,0.984,0.7005,0.983,0.984,0.9845,0.9825
5,self-refine,0.988,0.513,0.989,0.988,0.968,0.991
