,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,1.0,0.9783,0.9965,1.0,0.9985,0.9775
1,in_context_learning_3-shot,0.8915,0.9994,0.999,0.925,0.9785,0.9575
2,style_information_style_example,0.9955,0.9955,1.0,0.9965,0.998,0.9825
3,chain_of_thought_zero_shot,0.9995,0.9905,0.997,0.9995,0.999,0.9885
4,chain_of_thought_one_shot,0.9995,0.9889,0.9975,0.9995,0.999,0.9935
5,self-refine,0.995,0.9883,0.997,0.9985,0.999,0.9995
