,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9985,0.9795,0.9895,0.9975,1.0,0.987
1,in_context_learning_3-shot,0.8665,0.9965,0.907,0.8605,0.9425,0.7635
2,style_information_style_example,0.8975,0.947,1.0,0.879,0.9995,0.966
3,chain_of_thought_zero_shot,0.996,0.952,0.9955,0.996,0.996,0.9955
4,chain_of_thought_one_shot,0.977,0.9055,0.966,0.973,1.0,0.9245
5,self-refine,0.998,0.941,0.9985,0.9955,0.9985,0.9985
