,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.995,0.9745,0.9885,0.996,0.996,0.9745
1,in_context_learning_3-shot,0.9115,0.9965,0.8955,0.902,0.909,0.6275
2,style_information_style_example,0.977,0.929,0.9945,0.973,0.994,0.983
3,chain_of_thought_zero_shot,0.9965,0.9705,0.9925,0.9975,0.9975,0.985
4,chain_of_thought_one_shot,0.97,0.835,0.955,0.9755,0.9995,0.842
5,self-refine,0.986,0.793,0.9865,0.986,0.989,0.989
