,abstracts,news,reviews,qa
0,0.0,1.2922584995146335e-06,3.7985819476755134e-05,3.7453183520599e-06
1,-1.2922584995146335e-06,0.0,3.66935609772405e-05,2.4530598525452664e-06
2,-3.7985819476755134e-05,-3.66935609772405e-05,0.0,-3.424050112469523e-05
3,-3.7453183520599e-06,-2.4530598525452664e-06,3.424050112469523e-05,0.0
