,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
0,0.0,2.4700124713862005e-06,2.629166304618134e-06,2.224202637804267e-06,2.7945405826411338e-06,3.220300657605334e-06,4.153514154887867e-06
1,-2.4700124713862005e-06,0.0,1.5915383323193332e-07,-2.458098335819335e-07,3.2452811125493345e-07,7.502881862191334e-07,1.6835016835016666e-06
2,-2.629166304618134e-06,-1.5915383323193332e-07,0.0,-4.049636668138668e-07,1.6537427802300013e-07,5.911343529872001e-07,1.5243478502697333e-06
3,-2.224202637804267e-06,2.458098335819335e-07,4.049636668138668e-07,0.0,5.703379448368669e-07,9.960980198010668e-07,1.9293115170836e-06
4,-2.7945405826411338e-06,-3.2452811125493345e-07,-1.6537427802300013e-07,-5.703379448368669e-07,0.0,4.2576007496419997e-07,1.3589735722467332e-06
5,-3.220300657605334e-06,-7.502881862191334e-07,-5.911343529872001e-07,-9.960980198010668e-07,-4.2576007496419997e-07,0.0,9.332134972825332e-07
6,-4.153514154887867e-06,-1.6835016835016666e-06,-1.5243478502697333e-06,-1.9293115170836e-06,-1.3589735722467332e-06,-9.332134972825332e-07,0.0
