,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9742,0.8528,0.9467,0.9388,0.9942,0.9858
1,in_context_learning_3-shot,0.8281,0.9747,0.9504,0.8407,0.9346,0.9462
2,style_information_style_example,0.9736,0.9657,0.9821,0.9636,0.9821,0.9789
3,chain_of_thought_zero_shot,0.9831,0.9636,0.98,0.9831,0.9836,0.9836
4,chain_of_thought_one_shot,0.8866,0.8634,0.9425,0.8697,0.9963,0.9652
5,self-refine,0.9035,0.7584,0.8935,0.8217,0.9626,0.9937
