,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.998,0.95,0.9625,0.984,0.987,0.78
1,in_context_learning_3-shot,0.7725,0.9975,0.8515,0.7475,0.864,0.58
2,style_information_style_example,0.9325,0.976,0.9985,0.928,0.997,0.985
3,chain_of_thought_zero_shot,0.999,0.958,0.986,0.9995,0.999,0.956
4,chain_of_thought_one_shot,0.993,0.9585,0.9775,0.9955,0.9965,0.9575
5,self-refine,0.989,0.9215,0.995,0.991,0.995,0.9955
