,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.99,0.8475,0.9545,0.99,0.9905,0.99
1,in_context_learning_3-shot,0.782,0.782,0.7795,0.782,0.782,0.782
2,style_information_style_example,0.902,0.8895,0.901,0.902,0.902,0.902
3,chain_of_thought_zero_shot,0.996,0.8495,0.9575,0.996,0.9965,0.994
4,chain_of_thought_one_shot,0.988,0.909,0.9605,0.988,0.988,0.988
5,self-refine,0.9955,0.7535,0.914,0.994,0.9925,0.9965
