train_model,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
mistral,0.9835,0.9795,0.983,0.9765,0.9825,0.9835,0.98
deepseek,0.979,0.9835,0.982,0.983,0.984,0.9835,0.983
llama3.3,0.9755,0.952,0.9865,0.8935,0.8595,0.9615,0.9355
qwen72b,0.962,0.985,0.948,0.986,0.9865,0.985,0.9865
qwen32b,0.9635,0.982,0.959,0.991,0.993,0.9925,0.9835
qwen14b,0.9315,0.8975,0.893,0.937,0.995,0.9945,0.9005
solar,0.975,0.9815,0.9735,0.982,0.982,0.9825,0.9825
