,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.981,0.9156,0.98,0.9568,0.9889,0.932
1,in_context_learning_3-shot,0.865,0.8623,0.8655,0.865,0.8655,0.8655
2,style_information_style_example,0.9241,0.8233,0.9504,0.9151,0.9415,0.9151
3,chain_of_thought_zero_shot,0.9425,0.9214,0.9425,0.9399,0.9451,0.9335
4,chain_of_thought_one_shot,0.9736,0.9082,0.9731,0.9546,0.9831,0.9388
5,self-refine,0.8819,0.7811,0.942,0.8671,0.9019,0.9699
