,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9955,0.9595,0.973,0.9945,0.9965,0.996
1,in_context_learning_3-shot,0.958,0.9805,0.946,0.9505,0.9765,0.9565
2,style_information_style_example,0.906,0.9445,0.991,0.888,0.9565,0.994
3,chain_of_thought_zero_shot,0.9815,0.9505,0.974,0.981,0.982,0.982
4,chain_of_thought_one_shot,0.9615,0.7475,0.8505,0.9465,0.9915,0.903
5,self-refine,0.947,0.8215,0.9805,0.933,0.98,0.9935
