,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.987,0.9705,0.8155,0.9865,0.9835,0.9835
1,in_context_learning_3-shot,0.879,0.99,0.787,0.866,0.959,0.9595
2,style_information_style_example,0.77,0.9275,0.938,0.748,0.952,0.947
3,chain_of_thought_zero_shot,0.993,0.978,0.803,0.9925,0.993,0.9885
4,chain_of_thought_one_shot,0.5195,0.5075,0.601,0.524,0.9995,0.7675
5,self-refine,0.8425,0.881,0.789,0.81,0.992,0.9915
