,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9945,0.7594,0.995,0.9955,0.9925,0.9925
1,in_context_learning_3-shot,0.565,0.999,0.7515,0.5275,0.6275,0.5425
2,style_information_style_example,0.9925,0.8634,0.998,0.9915,0.9975,0.9475
3,chain_of_thought_zero_shot,0.9915,0.6738,0.9915,0.993,0.9855,0.9865
4,chain_of_thought_one_shot,0.9935,0.8844,0.9955,0.9945,0.995,0.9525
5,self-refine,0.988,0.5888,0.9665,0.9955,0.893,0.9965
