,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9995,0.986,0.998,0.999,0.9995,0.9975
1,in_context_learning_3-shot,0.939,0.998,0.945,0.916,0.9855,0.828
2,style_information_style_example,0.816,0.9635,1.0,0.777,0.9625,0.896
3,chain_of_thought_zero_shot,0.9975,0.963,0.981,0.999,0.9995,0.9845
4,chain_of_thought_one_shot,0.9715,0.98,0.9425,0.96,0.9995,0.9275
5,self-refine,0.998,0.9655,0.999,0.9965,1.0,1.0
