,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.986,0.598,0.986,0.9865,0.986,0.978
1,in_context_learning_3-shot,0.5,0.9945,0.5,0.5,0.5075,0.5015
2,style_information_style_example,0.978,0.5335,0.979,0.9785,0.9775,0.978
3,chain_of_thought_zero_shot,0.982,0.556,0.9825,0.9825,0.982,0.9825
4,chain_of_thought_one_shot,0.9865,0.703,0.985,0.986,0.9875,0.9695
5,self-refine,0.9805,0.5865,0.982,0.9805,0.9745,0.982
