,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.8481,0.8085,0.7136,0.8412,0.8286,0.8281
1,in_context_learning_3-shot,0.8428,0.8291,0.6129,0.837,0.8212,0.837
2,style_information_style_example,0.6055,0.6018,0.9578,0.6414,0.9836,0.8233
3,chain_of_thought_zero_shot,0.8597,0.8344,0.7906,0.8586,0.8592,0.8423
4,chain_of_thought_one_shot,0.5206,0.5638,0.74,0.5396,1.0,0.6682
5,self-refine,0.9277,0.7874,0.7331,0.9035,0.8998,0.9451
