,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.994,0.975,0.9875,0.9945,0.9945,0.992
1,in_context_learning_3-shot,0.955,0.9965,0.9365,0.9545,0.964,0.962
2,style_information_style_example,0.989,0.901,0.9925,0.9895,0.996,0.994
3,chain_of_thought_zero_shot,0.994,0.929,0.988,0.995,0.995,0.9925
4,chain_of_thought_one_shot,0.967,0.8134,0.946,0.9685,0.9925,0.9485
5,self-refine,0.995,0.992,0.992,0.9955,0.995,0.9965
