,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9975,0.8715,0.9905,0.9975,0.9975,0.983
1,in_context_learning_3-shot,0.7495,0.9935,0.9205,0.767,0.948,0.7895
2,style_information_style_example,0.9965,0.938,0.997,0.997,0.997,0.997
3,chain_of_thought_zero_shot,0.998,0.892,0.9915,0.9975,0.9995,0.983
4,chain_of_thought_one_shot,0.922,0.891,0.9635,0.937,1.0,0.7795
5,self-refine,0.9705,0.7605,0.9815,0.967,0.9365,1.0
