train_model,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
mistral,0.993,0.993,0.9925,0.993,0.993,0.993,0.993
deepseek,0.997,0.997,0.9965,0.997,0.997,0.997,0.997
llama3.3,0.9835,0.9895,0.99,0.986,0.989,0.9895,0.988
qwen72b,0.998,0.998,0.995,0.998,0.998,0.998,0.998
qwen32b,0.915,0.919,0.8145,0.8515,1.0,0.9995,0.969
qwen14b,0.949,0.956,0.9025,0.8815,0.999,0.999,0.9785
solar,0.9965,0.9975,0.992,0.9975,0.9975,0.9975,0.9975
