,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9825,0.9355,0.979,0.9825,0.9825,0.9765
1,in_context_learning_3-shot,0.5285,0.995,0.7975,0.5415,0.537,0.694
2,style_information_style_example,0.978,0.9715,0.9825,0.98,0.982,0.956
3,chain_of_thought_zero_shot,0.987,0.934,0.983,0.987,0.9865,0.976
4,chain_of_thought_one_shot,0.979,0.958,0.9765,0.9795,0.9795,0.9685
5,self-refine,0.8085,0.937,0.865,0.85,0.7595,0.9995
