train_dataset,abstracts,news,reviews,qa
abstracts,0.993,0.834,0.748,0.6682
news,0.68,1.0,0.78,0.8581
reviews,0.935,0.931,0.998,0.5316
qa,0.685,0.983,0.904,0.9789
