train_dataset,abstracts,news,reviews,qa
abstracts,0.9945,0.538,0.518,0.519
news,0.735,0.999,0.8335,0.8993
reviews,0.9195,0.9985,0.9995,0.702
qa,0.803,0.9915,0.9295,0.9826
