train_model,mistral,deepseek,llama3.3,qwen72b,qwen32b,qwen14b,solar
mistral,0.8877,0.8861,0.8797,0.8877,0.8882,0.8882,0.8882
deepseek,0.8713,0.8813,0.8697,0.8718,0.8776,0.8671,0.8681
llama3.3,0.8444,0.8476,0.8481,0.8444,0.8449,0.8418,0.846
qwen72b,0.9467,0.8813,0.7785,0.981,0.9789,0.9826,0.9842
qwen32b,0.9051,0.8518,0.7052,0.9699,0.9789,0.9868,0.9842
qwen14b,0.9209,0.904,0.8091,0.9594,0.9784,0.9826,0.9794
solar,0.8017,0.7326,0.5828,0.9241,0.9304,0.9594,0.9742
