,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9975,0.9883,0.997,0.997,0.9975,0.969
1,in_context_learning_3-shot,0.931,1.0,0.999,0.952,0.9795,0.9445
2,style_information_style_example,0.9615,0.9961,0.9995,0.973,0.989,0.9345
3,chain_of_thought_zero_shot,0.9955,0.99,0.9935,0.995,0.9955,0.979
4,chain_of_thought_one_shot,0.994,0.9911,0.993,0.994,0.994,0.9915
5,self-refine,0.9975,0.995,0.9975,0.998,0.9975,0.998
