,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.8813,0.8671,0.8797,0.8824,0.8824,0.8228
1,in_context_learning_3-shot,0.8523,0.8513,0.8497,0.8518,0.8523,0.8503
2,style_information_style_example,0.865,0.8286,0.8645,0.8666,0.8634,0.7778
3,chain_of_thought_zero_shot,0.8708,0.8286,0.8676,0.8734,0.8676,0.7646
4,chain_of_thought_one_shot,0.9304,0.9209,0.9283,0.9304,0.9314,0.9159
5,self-refine,0.9172,0.8972,0.9167,0.9172,0.9119,0.9185
