,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.993,0.8894,0.993,0.9925,0.9925,0.992
1,in_context_learning_3-shot,0.6285,0.999,0.539,0.526,0.5635,0.51
2,style_information_style_example,0.9925,0.8194,0.993,0.992,0.992,0.9785
3,chain_of_thought_zero_shot,0.9895,0.7729,0.9895,0.989,0.987,0.9855
4,chain_of_thought_one_shot,0.9935,0.8544,0.9935,0.992,0.9935,0.9885
5,self-refine,0.965,0.5578,0.9605,0.98,0.8985,0.9985
