,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.996,0.9835,0.9915,0.997,0.997,0.986
1,in_context_learning_3-shot,0.8305,0.998,0.813,0.802,0.844,0.542
2,style_information_style_example,0.979,0.9625,0.9945,0.978,0.9935,0.978
3,chain_of_thought_zero_shot,0.995,0.989,0.9925,0.9955,0.9955,0.994
4,chain_of_thought_one_shot,0.8795,0.63,0.867,0.8885,1.0,0.769
5,self-refine,0.989,0.9555,0.987,0.989,0.9875,0.9915
