train_dataset,abstracts,news,reviews,qa
abstracts,0.9825,0.586,0.6725,0.5527
news,0.614,0.9975,0.981,0.9293
reviews,0.8755,0.957,0.9975,0.7178
qa,0.594,0.796,0.787,0.9742
