,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,1.0,0.992,0.9975,0.9975,1.0,0.917
1,in_context_learning_3-shot,0.97,0.9985,0.986,0.965,0.996,0.8515
2,style_information_style_example,0.9995,0.9955,0.999,0.9965,0.9995,0.9675
3,chain_of_thought_zero_shot,0.9995,0.99,0.998,1.0,0.999,0.93
4,chain_of_thought_one_shot,1.0,0.995,0.9975,0.997,1.0,0.8995
5,self-refine,0.99,0.9895,0.9975,0.988,0.9935,0.9975
