,train_prompt_type,zero_shot_baseline,in_context_learning_3-shot,style_information_style_example,chain_of_thought_zero_shot,chain_of_thought_one_shot,self-refine
0,zero_shot_baseline,0.9865,0.4945,0.744,0.986,0.934,0.971
1,in_context_learning_3-shot,0.5065,0.9795,0.619,0.496,0.951,0.5065
2,style_information_style_example,0.923,0.896,0.9295,0.907,0.9315,0.8945
3,chain_of_thought_zero_shot,0.9765,0.4975,0.7475,0.9765,0.8885,0.9585
4,chain_of_thought_one_shot,0.8305,0.79,0.8005,0.75,0.9925,0.727
5,self-refine,0.9795,0.5355,0.757,0.9765,0.9575,0.9835
